case_id,scenario_type,respondent_profile,sensitivity_level,context_summary,communication_goals,risk_flags,recommended_norms,created_at
b1c58bee,public_service_complaint,resistant,medium,The respondent submitted a formal complaint about the benefits service received during a appointment. This structured conversation seeks to clarify facts and explore resolution options.,Gather any supporting details; Clarify what the respondent experienced; Document the nature and impact of the complaint,past_negative_experience; systemic_distrust,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.230443+00:00
c8c62349,clinical_intake,cooperative,high,This is an initial information-gathering session with a new client. The respondent has indicated stress related to a recent life change and may require financial counselling services. Sensitivity is required throughout.,Identify any immediate support needs; Build rapport and establish trust; Assess current level of functioning,disclosure_hesitancy; stigma_concern,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.230464+00:00
9dbf6311,workplace_incident_review,resistant,medium,A report has been filed regarding a ambiguous incident in the operations department on earlier this week. The respondent was present and is described as a support worker.,Establish a clear timeline of events; Clarify any actions taken at the time; Understand the respondent's direct observations,hierarchy_pressure; retaliation_fear,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.230486+00:00
3c8f5875,public_service_complaint,fatigued,medium,A citizen has contacted the housing office to report a documented experience with a recent appointment. The conversation aims to document the complaint and understand the impact.,Document the nature and impact of the complaint; Clarify what the respondent experienced; Gather any supporting details,past_negative_experience; systemic_distrust,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.230513+00:00
a9ec3bee,public_service_complaint,resistant,medium,A citizen has contacted the benefits office to report a sensitive experience with a recent application process. The conversation aims to document the complaint and understand the impact.,Gather any supporting details; Clarify what the respondent experienced; Document the nature and impact of the complaint,past_negative_experience; emotional_distress,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.230538+00:00
8f68e26d,clinical_intake,resistant,high,This is an initial information-gathering session with a new client. The respondent has indicated stress related to a recent life change and may require case management services. Sensitivity is required throughout.,Assess current level of functioning; Build rapport and establish trust; Identify any immediate support needs,stigma_concern; emotional_fragility,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.230560+00:00
8980c069,public_service_complaint,anxious,low,The respondent submitted a formal complaint about the housing service received during a inspection. This structured conversation seeks to clarify facts and explore resolution options.,Identify desired resolution; Document the nature and impact of the complaint; Gather any supporting details,emotional_distress; past_negative_experience,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.230583+00:00
c79eb358,workplace_incident_review,trauma_sensitive,high,"Following a unexpected workplace event involving several team members, a review conversation is being conducted with a senior technician who witnessed part of the incident.",Clarify any actions taken at the time; Identify all persons present; Understand the respondent's direct observations,retaliation_fear; hierarchy_pressure,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.230608+00:00
44953d5d,workplace_incident_review,confused,medium,The respondent is a team coordinator who submitted an internal report about a ambiguous situation occurring near the reception area. This conversation aims to gather a factual account.,Identify all persons present; Understand the respondent's direct observations; Clarify any actions taken at the time,hierarchy_pressure; blame_attribution,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.230632+00:00
309d37fd,workplace_incident_review,trauma_sensitive,high,The respondent is a team coordinator who submitted an internal report about a disputed situation occurring near the reception area. This conversation aims to gather a factual account.,Establish a clear timeline of events; Clarify any actions taken at the time; Understand the respondent's direct observations,retaliation_fear; hierarchy_pressure,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.230654+00:00
f677e900,clinical_intake,confused,high,A structured intake conversation is being conducted with an individual who has requested case management support. The respondent reports challenges with daily functioning as a primary concern.,Build rapport and establish trust; Identify any immediate support needs; Assess current level of functioning,disclosure_hesitancy; trauma_history,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.230678+00:00
086413ec,workplace_incident_review,trauma_sensitive,medium,"Following a sensitive workplace event involving four team members, a review conversation is being conducted with a team coordinator who witnessed part of the incident.",Identify all persons present; Establish a clear timeline of events; Understand the respondent's direct observations,retaliation_fear; hierarchy_pressure,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.230702+00:00
47160372,public_service_complaint,trauma_sensitive,medium,A citizen has contacted the environmental office to report a documented experience with a recent application process. The conversation aims to document the complaint and understand the impact.,Clarify what the respondent experienced; Identify desired resolution; Document the nature and impact of the complaint,emotional_distress; systemic_distrust,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.230724+00:00
a96d7184,workplace_incident_review,anxious,medium,A report has been filed regarding a documented incident in the storage department on Tuesday morning. The respondent was present and is described as a junior analyst.,Understand the respondent's direct observations; Identify all persons present; Clarify any actions taken at the time,blame_attribution; hierarchy_pressure,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.230747+00:00
659c8c84,compliance_interview,fatigued,medium,"As part of a routine data handling review, a structured conversation is being held with a senior technician in the field unit. The aim is to verify understanding of relevant procedures.",Identify any deviations and the rationale behind them; Assess procedural knowledge; Verify the respondent's understanding of relevant procedures,self_incrimination_concern; procedural_misunderstanding,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.230768+00:00
fee58651,clinical_intake,anxious,high,This is an initial information-gathering session with a new client. The respondent has indicated challenges with daily functioning and may require case management services. Sensitivity is required throughout.,Build rapport and establish trust; Identify any immediate support needs; Understand the presenting concern,disclosure_hesitancy; emotional_fragility,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.230793+00:00
8b9de349,witness_recall,anxious,medium,"Following a documented incident at administration, the respondent has been asked to provide a structured recall account. They were nearby when the event occurred and may have relevant observations.","Elicit a free, uncontaminated account; Clarify the sequence and timing of events; Identify what was directly observed versus inferred",trauma_proximity; confabulation_risk,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.230816+00:00
633cdb34,compliance_interview,anxious,high,A safety audit has flagged a potential process deviation in the operations team. This conversation seeks to clarify the respondent's understanding and actions during the relevant period.,Document explanations accurately; Assess procedural knowledge; Identify any deviations and the rationale behind them,procedural_misunderstanding; authority_anxiety,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.230838+00:00
